metadata_column	enumeration	enumeration_description
in.county_and_puma	"G3900610, G39005505"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 061, the NHGIS PUMA code is 05505"
in.county_and_puma	"G3900610, G39005506"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 061, the NHGIS PUMA code is 05506"
in.county_and_puma	"G3900610, G39005507"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 061, the NHGIS PUMA code is 05507"
in.county_and_puma	"G3900630, G39002400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 063, the NHGIS PUMA code is 02400"
in.county_and_puma	"G3900650, G39002700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 065, the NHGIS PUMA code is 02700"
in.county_and_puma	"G3900670, G39003000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 067, the NHGIS PUMA code is 03000"
in.county_and_puma	"G3900690, G39000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 069, the NHGIS PUMA code is 00100"
in.county_and_puma	"G3900710, G39005200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 071, the NHGIS PUMA code is 05200"
in.county_and_puma	"G3900730, G39004900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 073, the NHGIS PUMA code is 04900"
in.county_and_puma	"G3900750, G39002900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 075, the NHGIS PUMA code is 02900"
in.county_and_puma	"G3900770, G39002100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 077, the NHGIS PUMA code is 02100"
in.county_and_puma	"G3900790, G39004900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 079, the NHGIS PUMA code is 04900"
in.county_and_puma	"G3900810, G39003500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 081, the NHGIS PUMA code is 03500"
in.county_and_puma	"G3900830, G39002800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 083, the NHGIS PUMA code is 02800"
in.county_and_puma	"G3900850, G39001000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 085, the NHGIS PUMA code is 01000"
in.county_and_puma	"G3900850, G39001100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 085, the NHGIS PUMA code is 01100"
in.county_and_puma	"G3900850, G39001200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 085, the NHGIS PUMA code is 01200"
in.county_and_puma	"G3900870, G39005100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 087, the NHGIS PUMA code is 05100"
in.county_and_puma	"G3900890, G39003800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 089, the NHGIS PUMA code is 03800"
in.county_and_puma	"G3900910, G39002700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 091, the NHGIS PUMA code is 02700"
in.county_and_puma	"G3900930, G39000801"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 093, the NHGIS PUMA code is 00801"
in.county_and_puma	"G3900930, G39000802"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 093, the NHGIS PUMA code is 00802"
in.county_and_puma	"G3900950, G39000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 095, the NHGIS PUMA code is 00200"
in.county_and_puma	"G3900950, G39000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 095, the NHGIS PUMA code is 00300"
in.county_and_puma	"G3900950, G39000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 095, the NHGIS PUMA code is 00400"
in.county_and_puma	"G3900950, G39000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 095, the NHGIS PUMA code is 00500"
in.county_and_puma	"G3900950, G39000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 095, the NHGIS PUMA code is 00600"
in.county_and_puma	"G3900970, G39004200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 097, the NHGIS PUMA code is 04200"
in.county_and_puma	"G3900990, G39001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 099, the NHGIS PUMA code is 01400"
in.county_and_puma	"G3900990, G39001500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 099, the NHGIS PUMA code is 01500"
in.county_and_puma	"G3901010, G39002800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 101, the NHGIS PUMA code is 02800"
in.county_and_puma	"G3901030, G39001900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 103, the NHGIS PUMA code is 01900"
in.county_and_puma	"G3901050, G39005000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 105, the NHGIS PUMA code is 05000"
in.county_and_puma	"G3901070, G39002600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 107, the NHGIS PUMA code is 02600"
in.county_and_puma	"G3901090, G39004400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 109, the NHGIS PUMA code is 04400"
in.county_and_puma	"G3901110, G39003600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 111, the NHGIS PUMA code is 03600"
in.county_and_puma	"G3901130, G39004601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 113, the NHGIS PUMA code is 04601"
in.county_and_puma	"G3901130, G39004602"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 113, the NHGIS PUMA code is 04602"
in.county_and_puma	"G3901130, G39004603"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 113, the NHGIS PUMA code is 04603"
in.county_and_puma	"G3901130, G39004604"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 113, the NHGIS PUMA code is 04604"
in.county_and_puma	"G3901150, G39003600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 115, the NHGIS PUMA code is 03600"
in.county_and_puma	"G3901170, G39002800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 117, the NHGIS PUMA code is 02800"
in.county_and_puma	"G3901190, G39003700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 119, the NHGIS PUMA code is 03700"
in.county_and_puma	"G3901210, G39003600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 121, the NHGIS PUMA code is 03600"
in.county_and_puma	"G3901230, G39000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 123, the NHGIS PUMA code is 00600"
in.county_and_puma	"G3901250, G39000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 125, the NHGIS PUMA code is 00100"
in.county_and_puma	"G3901270, G39003700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 127, the NHGIS PUMA code is 03700"
in.county_and_puma	"G3901290, G39004200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 129, the NHGIS PUMA code is 04200"
in.county_and_puma	"G3901310, G39004900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 131, the NHGIS PUMA code is 04900"
in.county_and_puma	"G3901330, G39001700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 133, the NHGIS PUMA code is 01700"
in.county_and_puma	"G3901350, G39004500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 135, the NHGIS PUMA code is 04500"
in.county_and_puma	"G3901370, G39002400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 137, the NHGIS PUMA code is 02400"
in.county_and_puma	"G3901390, G39002200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 139, the NHGIS PUMA code is 02200"
in.county_and_puma	"G3901410, G39004800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 141, the NHGIS PUMA code is 04800"
in.county_and_puma	"G3901430, G39000700"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 143, the NHGIS PUMA code is 00700"
in.county_and_puma	"G3901450, G39005100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 145, the NHGIS PUMA code is 05100"
in.county_and_puma	"G3901470, G39002300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 147, the NHGIS PUMA code is 02300"
in.county_and_puma	"G3901490, G39004500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 149, the NHGIS PUMA code is 04500"
in.county_and_puma	"G3901510, G39003100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 151, the NHGIS PUMA code is 03100"
in.county_and_puma	"G3901510, G39003200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 151, the NHGIS PUMA code is 03200"
in.county_and_puma	"G3901510, G39003300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 151, the NHGIS PUMA code is 03300"
in.county_and_puma	"G3901530, G39001801"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 153, the NHGIS PUMA code is 01801"
in.county_and_puma	"G3901530, G39001802"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 153, the NHGIS PUMA code is 01802"
in.county_and_puma	"G3901530, G39001803"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 153, the NHGIS PUMA code is 01803"
in.county_and_puma	"G3901530, G39001804"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 153, the NHGIS PUMA code is 01804"
in.county_and_puma	"G3901530, G39001805"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 153, the NHGIS PUMA code is 01805"
in.county_and_puma	"G3901550, G39001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 155, the NHGIS PUMA code is 01400"
in.county_and_puma	"G3901550, G39001600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 155, the NHGIS PUMA code is 01600"
in.county_and_puma	"G3901570, G39003000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 157, the NHGIS PUMA code is 03000"
in.county_and_puma	"G3901590, G39004200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 159, the NHGIS PUMA code is 04200"
in.county_and_puma	"G3901610, G39002600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 161, the NHGIS PUMA code is 02600"
in.county_and_puma	"G3901630, G39004900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 163, the NHGIS PUMA code is 04900"
in.county_and_puma	"G3901650, G39005301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 165, the NHGIS PUMA code is 05301"
in.county_and_puma	"G3901650, G39005302"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 165, the NHGIS PUMA code is 05302"
in.county_and_puma	"G3901670, G39003600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 167, the NHGIS PUMA code is 03600"
in.county_and_puma	"G3901690, G39002000"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 169, the NHGIS PUMA code is 02000"
in.county_and_puma	"G3901710, G39000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 171, the NHGIS PUMA code is 00100"
in.county_and_puma	"G3901730, G39000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 173, the NHGIS PUMA code is 00200"
in.county_and_puma	"G3901730, G39000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 173, the NHGIS PUMA code is 00300"
in.county_and_puma	"G3901730, G39000600"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 173, the NHGIS PUMA code is 00600"
in.county_and_puma	"G3901750, G39002300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 39, the NHGIS county code is 175, the NHGIS PUMA code is 02300"
in.county_and_puma	"G4000010, G40000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 001, the NHGIS PUMA code is 00200"
in.county_and_puma	"G4000030, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 003, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000050, G40000702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 005, the NHGIS PUMA code is 00702"
in.county_and_puma	"G4000070, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 007, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000090, G40000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 009, the NHGIS PUMA code is 00400"
in.county_and_puma	"G4000110, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 011, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000130, G40000702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 013, the NHGIS PUMA code is 00702"
in.county_and_puma	"G4000150, G40000602"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 015, the NHGIS PUMA code is 00602"
in.county_and_puma	"G4000170, G40000800"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 017, the NHGIS PUMA code is 00800"
in.county_and_puma	"G4000190, G40000701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 019, the NHGIS PUMA code is 00701"
in.county_and_puma	"G4000210, G40000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 021, the NHGIS PUMA code is 00200"
in.county_and_puma	"G4000230, G40000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 023, the NHGIS PUMA code is 00300"
in.county_and_puma	"G4000250, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 025, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000270, G40000900"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 027, the NHGIS PUMA code is 00900"
in.county_and_puma	"G4000290, G40000702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 029, the NHGIS PUMA code is 00702"
in.county_and_puma	"G4000310, G40000601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 031, the NHGIS PUMA code is 00601"
in.county_and_puma	"G4000310, G40000602"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 031, the NHGIS PUMA code is 00602"
in.county_and_puma	"G4000330, G40000602"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 033, the NHGIS PUMA code is 00602"
in.county_and_puma	"G4000350, G40000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 035, the NHGIS PUMA code is 00100"
in.county_and_puma	"G4000370, G40001204"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 037, the NHGIS PUMA code is 01204"
in.county_and_puma	"G4000370, G40001501"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 037, the NHGIS PUMA code is 01501"
in.county_and_puma	"G4000370, G40001601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 037, the NHGIS PUMA code is 01601"
in.county_and_puma	"G4000390, G40000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 039, the NHGIS PUMA code is 00400"
in.county_and_puma	"G4000410, G40000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 041, the NHGIS PUMA code is 00100"
in.county_and_puma	"G4000430, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 043, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000450, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 045, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000470, G40001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 047, the NHGIS PUMA code is 01400"
in.county_and_puma	"G4000490, G40000701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 049, the NHGIS PUMA code is 00701"
in.county_and_puma	"G4000510, G40001101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 051, the NHGIS PUMA code is 01101"
in.county_and_puma	"G4000530, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 053, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000550, G40000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 055, the NHGIS PUMA code is 00400"
in.county_and_puma	"G4000570, G40000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 057, the NHGIS PUMA code is 00400"
in.county_and_puma	"G4000590, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 059, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000610, G40000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 061, the NHGIS PUMA code is 00300"
in.county_and_puma	"G4000630, G40001501"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 063, the NHGIS PUMA code is 01501"
in.county_and_puma	"G4000650, G40000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 065, the NHGIS PUMA code is 00400"
in.county_and_puma	"G4000670, G40000602"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 067, the NHGIS PUMA code is 00602"
in.county_and_puma	"G4000690, G40000702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 069, the NHGIS PUMA code is 00702"
in.county_and_puma	"G4000710, G40001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 071, the NHGIS PUMA code is 01400"
in.county_and_puma	"G4000730, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 073, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000750, G40000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 075, the NHGIS PUMA code is 00400"
in.county_and_puma	"G4000770, G40000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 077, the NHGIS PUMA code is 00300"
in.county_and_puma	"G4000790, G40000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 079, the NHGIS PUMA code is 00300"
in.county_and_puma	"G4000810, G40001102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 081, the NHGIS PUMA code is 01102"
in.county_and_puma	"G4000830, G40001102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 083, the NHGIS PUMA code is 01102"
in.county_and_puma	"G4000850, G40000701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 085, the NHGIS PUMA code is 00701"
in.county_and_puma	"G4000870, G40001101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 087, the NHGIS PUMA code is 01101"
in.county_and_puma	"G4000890, G40000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 089, the NHGIS PUMA code is 00300"
in.county_and_puma	"G4000910, G40001302"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 091, the NHGIS PUMA code is 01302"
in.county_and_puma	"G4000930, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 093, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4000950, G40000702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 095, the NHGIS PUMA code is 00702"
in.county_and_puma	"G4000970, G40000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 097, the NHGIS PUMA code is 00100"
in.county_and_puma	"G4000990, G40000701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 099, the NHGIS PUMA code is 00701"
in.county_and_puma	"G4001010, G40001302"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 101, the NHGIS PUMA code is 01302"
in.county_and_puma	"G4001030, G40001400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 103, the NHGIS PUMA code is 01400"
in.county_and_puma	"G4001050, G40000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 105, the NHGIS PUMA code is 00100"
in.county_and_puma	"G4001070, G40001501"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 107, the NHGIS PUMA code is 01501"
in.county_and_puma	"G4001090, G40001001"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 109, the NHGIS PUMA code is 01001"
in.county_and_puma	"G4001090, G40001002"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 109, the NHGIS PUMA code is 01002"
in.county_and_puma	"G4001090, G40001003"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 109, the NHGIS PUMA code is 01003"
in.county_and_puma	"G4001090, G40001004"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 109, the NHGIS PUMA code is 01004"
in.county_and_puma	"G4001090, G40001005"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 109, the NHGIS PUMA code is 01005"
in.county_and_puma	"G4001090, G40001006"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 109, the NHGIS PUMA code is 01006"
in.county_and_puma	"G4001110, G40001302"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 111, the NHGIS PUMA code is 01302"
in.county_and_puma	"G4001130, G40001204"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 113, the NHGIS PUMA code is 01204"
in.county_and_puma	"G4001130, G40001601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 113, the NHGIS PUMA code is 01601"
in.county_and_puma	"G4001150, G40000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 115, the NHGIS PUMA code is 00100"
in.county_and_puma	"G4001170, G40001601"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 117, the NHGIS PUMA code is 01601"
in.county_and_puma	"G4001190, G40001501"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 119, the NHGIS PUMA code is 01501"
in.county_and_puma	"G4001210, G40000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 121, the NHGIS PUMA code is 00300"
in.county_and_puma	"G4001230, G40000701"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 123, the NHGIS PUMA code is 00701"
in.county_and_puma	"G4001230, G40000702"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 123, the NHGIS PUMA code is 00702"
in.county_and_puma	"G4001250, G40001101"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 125, the NHGIS PUMA code is 01101"
in.county_and_puma	"G4001250, G40001102"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 125, the NHGIS PUMA code is 01102"
in.county_and_puma	"G4001270, G40000300"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 127, the NHGIS PUMA code is 00300"
in.county_and_puma	"G4001290, G40000400"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 129, the NHGIS PUMA code is 00400"
in.county_and_puma	"G4001310, G40000100"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 131, the NHGIS PUMA code is 00100"
in.county_and_puma	"G4001310, G40001301"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 131, the NHGIS PUMA code is 01301"
in.county_and_puma	"G4001330, G40001501"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 133, the NHGIS PUMA code is 01501"
in.county_and_puma	"G4001350, G40000200"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 135, the NHGIS PUMA code is 00200"
in.county_and_puma	"G4001370, G40000602"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 137, the NHGIS PUMA code is 00602"
in.county_and_puma	"G4001390, G40000500"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 139, the NHGIS PUMA code is 00500"
in.county_and_puma	"G4001410, G40000602"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 141, the NHGIS PUMA code is 00602"
in.county_and_puma	"G4001430, G40001201"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 143, the NHGIS PUMA code is 01201"
in.county_and_puma	"G4001430, G40001202"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 143, the NHGIS PUMA code is 01202"
in.county_and_puma	"G4001430, G40001203"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 143, the NHGIS PUMA code is 01203"
in.county_and_puma	"G4001430, G40001204"	"GISJOIN identifier for each county and PUMA combination, the NHGIS state code is 40, the NHGIS county code is 143, the NHGIS PUMA code is 01204"
